Year,company,rating,date,rating_ffill,event,consecutive_nr_days,state,nr_flag,nr_reason,rating_numeric,base_risk,risk_score
2024-06,KoreanAir,A-,2024-06-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-07,KoreanAir,A-,2024-07-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-08,KoreanAir,A-,2024-08-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-09,KoreanAir,A-,2024-09-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-10,KoreanAir,A-,2024-10-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-11,KoreanAir,A-,2024-11-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-12,KoreanAir,A-,2024-12-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-01,KoreanAir,A-,2025-01-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-02,KoreanAir,A-,2025-02-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-03,KoreanAir,A-,2025-03-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-04,KoreanAir,A-,2025-04-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-05,KoreanAir,A-,2025-05-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-06,KoreanAir,A-,2025-06-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-07,KoreanAir,A-,2025-07-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-08,KoreanAir,A-,2025-08-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-09,KoreanAir,A-,2025-09-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2025-10,KoreanAir,A-,2025-10-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
